eigen,fileName,vif,maf,hwe,outliers,pop,genes,n_sample,status,combination_
0.8517907207366862,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8522166407850562,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8533692656812926,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8536779119839014,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9961649551661274,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9966720990668235,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9991731148745125,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9988020706445222,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9980131400758301,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9977616565080838,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8544097846946661,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8549673144714002,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8552739601156543,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8563451388594298,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8566312554928396,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8571697463125563,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8575713013183313,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9953940711206832,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9948880985585012,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9938752875583317,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9934726176492963,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.992486675899766,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9927342528002142,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8580051724363504,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.858530214678828,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8589443856137454,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8592238892021934,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8603201386938577,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8607620413096032,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8610379091524962,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9912668908067293,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9905844394410265,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9908796516540296,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9898981589007916,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9890880621455289,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9880829554554935,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9883884583484241,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9872703169927,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9868838277143355,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9863610164246177,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9852657891788702,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9859265395405882,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8620985432869218,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8625859799174529,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8624733928322295,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8632962022025158,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8636980790250368,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8683515952491161,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8676220144180576,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8671652382836443,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8668153067517987,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.866183742357958,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8640025090881968,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8654567773807103,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8649515229164757,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.864500508565343,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8645161590763952,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9842811339342287,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9837780436068502,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9828505448890432,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9774821698352172,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9772619018224437,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.978444551918377,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9822963103996385,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9819699128845242,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9793576049535903,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9812735192845813,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9808139159491442,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
