Case|comparison_pops_|label_|count|mean|std|min|25%|50%|75%|max
Different|TSI - YRI|all_multivar_out|6612,0|-0,06110886548228033|0,0020847555604531073|-0,06826712645841441|-0,06253514383493526|-0,06116699628343571|-0,059727212260122516|-0,05262044579134154
Different|TSI - YRI|all_orig|7917,0|-0,06470883734924808|0,0020400995890713244|-0,07157001297224785|-0,0660827240346801|-0,06472271701651923|-0,0633271350738902|-0,05675390288462606
Different|TSI - YRI|all_univar_out|7476,0|-0,06360365648357792|0,0020501235433146693|-0,07011073425540136|-0,06499410867486644|-0,06364636826471765|-0,06220583664221609|-0,05544550870286276
Same|CEU|all_multivar_out|3003,0|0,015176326751546154|0,0033793293877489197|0,004663808745076934|0,012904849731984335|0,01505547722459782|0,017338999672473075|0,03953424239220156
Same|CEU|all_orig|3916,0|0,017278667134953976|0,00344210054920473|0,007217990341919801|0,015041377769607693|0,017184032995585033|0,019407163438763125|0,07329388048484861
Same|CEU|all_univar_out|3828,0|0,016608306855816587|0,0034585605481612597|0,006299976944378348|0,014315417797902682|0,01648050172955052|0,01877251894997311|0,07241427364074111
Same|CEU|eur_multivar_out|2850,0|-0,0006097359893243767|0,003550591729469205|-0,012937365785589634|-0,0029031258309014153|-0,0007988682638551206|0,0015194959691810389|0,026103340604295505
Same|CEU|eur_orig|3916,0|-0,0006303980231203871|0,0036349859632423217|-0,012083034141770949|-0,002997980951191377|-0,0008520648803988823|0,0015748287281982056|0,06232564035934043
Same|CEU|eur_univar_out|3828,0|-0,0006376059153342916|0,0036710852604751616|-0,013118109227662924|-0,0030025447915994923|-0,0008605982195419807|0,001587624492806045|0,06299994910278195
Same|FIN|all_multivar_out|4186,0|0,027272904387158535|0,005546556166960508|0,010173187238094166|0,02348572070602399|0,02706306824691239|0,03087137513154613|0,05057518805230052
Same|FIN|all_orig|4186,0|0,0298471458580419|0,005538431968143062|0,012137904783119508|0,02605944213026909|0,02963388919505011|0,03349141144250472|0,053273031693567605
Same|FIN|all_univar_out|4186,0|0,029047302851555844|0,005548358398586768|0,011360446749592848|0,025279091844393694|0,02882982976113374|0,03264533004667584|0,052733234810292615
Same|FIN|eur_multivar_out|4186,0|0,01182668426145724|0,005782921639836126|-0,0066421646165963685|0,007771905317000609|0,011581739082311252|0,015567401329203973|0,035256097445387505
Same|FIN|eur_orig|4186,0|0,012503424122805364|0,005832670026203113|-0,006419341006906628|0,008494878461294722|0,01222206407446189|0,016307736896047597|0,03585303312690423
